ArraySize,GlobalMemoryTime(ms),SharedMemoryTime(ms),ConstantMemoryTime(ms)
1,0.0167405,0.0101273,0.00980287
2,0.0317645,0.00861488,0.0389501
3,0.010243,0.00954873,0.0250256
4,0.00899406,0.0158986,0.00960607
5,0.0121744,0.0244881,0.0118722
6,0.0244042,0.0295416,0.0096779
7,0.00917716,0.0161536,0.0173232
8,0.0105187,0.0107705,0.0108289
9,0.0107214,0.0483563,0.0105944
10,0.00929892,0.00856586,0.0169041
11,0.0129659,0.0259155,0.0105165
12,0.011174,0.00845436,0.00994113
13,0.0155185,0.00987866,0.0105307
14,0.0118529,0.0143616,0.0129557
15,0.010761,0.00924868,0.0190432
16,0.0158506,0.0227532,0.0427742
17,0.0256135,0.00861386,0.0217147
18,0.017665,0.00932018,0.015069
19,0.0284707,0.0205507,0.0173023
20,0.0127322,0.0140267,0.0196556
21,0.0100874,0.0162939,0.030128
22,0.0110332,0.0181197,0.0143054
23,0.0106761,0.00832516,0.0336985
24,0.00985317,0.016939,0.020982
25,0.0176784,0.0241757,0.0214211
26,0.0233005,0.023561,0.0240045
27,0.0107158,0.0130633,0.0150283
28,0.0306732,0.00860258,0.0147822
29,0.011086,0.0105095,0.0217863
30,0.0108082,0.010579,0.0203447
31,0.0123032,0.0182967,0.0259346
32,0.0208343,0.0114523,0.0194703
33,0.0233708,0.00932263,0.021842
34,0.0128215,0.0093367,0.0299282
35,0.0252961,0.0224534,0.0431646
36,0.023031,0.0110246,0.0317267
37,0.0162848,0.0114522,0.028583
38,0.0159201,0.0112333,0.0402123
39,0.0158413,0.0195535,0.0282688
40,0.0203213,0.01412,0.0354871
41,0.0144251,0.00979047,0.0288685
42,0.0137514,0.0203447,0.0339351
43,0.023163,0.0146773,0.037045
44,0.0153054,0.0124436,0.0299521
45,0.0281034,0.0137185,0.0378214
46,0.025737,0.0165472,0.0323962
47,0.0151153,0.00968908,0.0312634
48,0.0273675,0.0105391,0.0313724
49,0.0183126,0.0102574,0.0569808
50,0.0186819,0.0181975,0.0461861
51,0.0258018,0.00952222,0.0474675
52,0.0212307,0.012413,0.0452883
53,0.0260159,0.0287969,0.0600045
54,0.0202319,0.0105972,0.0514715
55,0.0253041,0.0100617,0.0524737
56,0.0204514,0.0154131,0.0466984
57,0.0196833,0.0186737,0.0495656
58,0.0258233,0.020224,0.0496171
59,0.0289628,0.0113562,0.0523202
60,0.0182026,0.0168589,0.0544581
61,0.0172504,0.0264528,0.0570786
62,0.0190555,0.00977013,0.052476
63,0.0233063,0.0148653,0.0661688
64,0.0204914,0.0140667,0.0713799
65,0.0248741,0.0102533,0.0929893
66,0.032184,0.025939,0.0888872
67,0.0296835,0.0207627,0.0869009
68,0.035332,0.011775,0.0857949
69,0.0281617,0.0127118,0.0876308
70,0.0259646,0.0301098,0.0935557
71,0.0309891,0.0150988,0.0884022
72,0.0222259,0.0117246,0.0900959
73,0.0242418,0.0250636,0.0908389
74,0.0299949,0.021078,0.0934921
75,0.0301707,0.0116482,0.0956528
76,0.026625,0.0104489,0.096295
77,0.0247387,0.0164087,0.0984878
78,0.0249508,0.0189011,0.0960836
