ArraySize,Sequential,Parallel
1,18.6094,11.4587
257,13.5245,10.7227
513,13.1992,10.5988
769,12.9002,10.7813
1025,12.8145,10.7857
1281,12.9821,10.8971
1537,13.3622,10.9227
1793,12.7879,10.9842
2049,12.99,10.8489
2305,13.8353,11.0464
2561,13.0956,10.8315
2817,12.9197,10.8856
3073,13.3471,10.6285
3329,12.8856,10.9193
3585,12.9785,10.8775
3841,12.8069,10.7374
4097,15.4702,11.9629
4353,13.7243,10.8567
4609,14.5594,10.782
4865,13.3485,12.0968
5121,13.2576,10.8635
5377,13.5698,11.2697
5633,13.7583,10.9268
5889,13.1715,10.8542
6145,13.2524,10.7935
6401,13.098,10.7146
6657,13.3222,13.2
6913,14.9406,11.1341
7169,13.8205,11.8706
7425,15.0162,10.8461
7681,17.1643,13.5429
7937,15.2934,12.4941
8193,14.1366,11.2536
8449,13.6351,11.0142
8705,13.1547,11.058
8961,12.9448,10.9856
9217,13.6167,10.7395
9473,13.4301,11.4126
9729,14.1839,11.1482
9985,13.7371,10.9139
10241,13.0065,10.7257
10497,13.9002,11.0776
10753,13.9889,11.6674
11009,14.312,11.0455
